image_name,current_paths,note,line,embed_raw,context
com8_devices.png,_assets/tutorial_img/com8_devices.png,30_Notes/0905-encendidoEMP.md,12,com8_devices.png,![[com8_devices.png]]
bootingZynq.png,_assets/tutorial_img/bootingZynq.png,30_Notes/0905-encendidoEMP.md,17,bootingZynq.png,![[bootingZynq.png]]
table_clock_inputsPLL.png,_assets/misc/table_clock_inputsPLL.png,30_Notes/0910-Clock V.md,9,table_clock_inputsPLL.png,![[table_clock_inputsPLL.png]]
table_in_sel_delay_modes.png,_assets/misc/table_in_sel_delay_modes.png,30_Notes/0910-Clock V.md,14,table_in_sel_delay_modes.png,![[table_in_sel_delay_modes.png]]
Table_outCLK.png,_assets/misc/Table_outCLK.png,30_Notes/0910-Clock V.md,20,Table_outCLK.png,![[Table_outCLK.png]]
table_out8out9.png,_assets/misc/table_out8out9.png,30_Notes/0910-Clock V.md,23,table_out8out9.png,![[table_out8out9.png]]
schem_clk7_diff.png,_assets/misc/schem_clk7_diff.png,30_Notes/0910-Clock V.md,31,schem_clk7_diff.png,![[schem_clk7_diff.png]]
schem_clk8_diff.png,_assets/misc/schem_clk8_diff.png,30_Notes/0910-Clock V.md,59,schem_clk8_diff.png,![[schem_clk8_diff.png]]
table_pll_clock_gen.png,_assets/misc/table_pll_clock_gen.png,30_Notes/0910-Clock V.md,68,table_pll_clock_gen.png,![[table_pll_clock_gen.png]]
schem_b2b_connections_non.png,_assets/misc/schem_b2b_connections_non.png,30_Notes/0910-Clock V.md,78,schem_b2b_connections_non.png,![[schem_b2b_connections_non.png]]
schem_in2_p_clock.png,_assets/misc/schem_in2_p_clock.png,30_Notes/0910-Clock V.md,86,schem_in2_p_clock.png,![[schem_in2_p_clock.png]]
schem_in3_p.png,_assets/misc/schem_in3_p.png,30_Notes/0910-Clock V.md,90,schem_in3_p.png,![[schem_in3_p.png]]
schem_b227_ck0_p.png,_assets/misc/schem_b227_ck0_p.png,30_Notes/0910-Clock V.md,127,schem_b227_ck0_p.png,- ![[schem_b227_ck0_p.png]]
Implementation_Warning_Violation.png,_assets/misc/Implementation_Warning_Violation.png,30_Notes/0910-empFirmware - logs y Warnings.md,50,Implementation_Warning_Violation.png,![[Implementation_Warning_Violation.png]]
Implementation_CriticalWarning.png,_assets/misc/Implementation_CriticalWarning.png,30_Notes/0910-empFirmware - logs y Warnings.md,52,Implementation_CriticalWarning.png,![[Implementation_CriticalWarning.png]]
Implementation_CriticalWarning_detailed.png,_assets/misc/Implementation_CriticalWarning_detailed.png,30_Notes/0910-empFirmware - logs y Warnings.md,55,Implementation_CriticalWarning_detailed.png,![[Implementation_CriticalWarning_detailed.png]]
MGT_Polatiry_options_02v.png,_assets/misc/MGT_Polatiry_options_02v.png,30_Notes/0912-compilando_empfirmwarev0.2.md,3,MGT_Polatiry_options_02v.png,![[MGT_Polatiry_options_02v.png]]
On_board_LED.png,_assets/misc/On_board_LED.png,30_Notes/0915-xsa to the fpga.md,117,On_board_LED.png,![[On_board_LED.png]]
clock_connection.png,_assets/misc/clock_connection.png,30_Notes/0918-AXI Addressing.md,55,clock_connection.png,![[clock_connection.png]]
routing_emp_clocl.png,_assets/misc/routing_emp_clocl.png,30_Notes/0918-AXI Addressing.md,108,routing_emp_clocl.png,![[routing_emp_clocl.png]]
routing_s_axi_araddr.png,_assets/misc/routing_s_axi_araddr.png,30_Notes/0918-AXI Addressing.md,110,routing_s_axi_araddr.png,![[routing_s_axi_araddr.png]]
registarmapSimualtorWRN.png,_assets/misc/registarmapSimualtorWRN.png,30_Notes/0919-PostReunionEMP_team.md,55,registarmapSimualtorWRN.png,![[registarmapSimualtorWRN.png]]
ch_fpga.png,_assets/misc/ch_fpga.png,30_Notes/0919-Puertos.md,5,ch_fpga.png|500,![[ch_fpga.png|500]]
ch_fpga2.png,_assets/misc/ch_fpga2.png,30_Notes/0919-Puertos.md,7,ch_fpga2.png|500,![[ch_fpga2.png|500]]
pin_fpga.png,_assets/misc/pin_fpga.png,30_Notes/0919-Puertos.md,10,pin_fpga.png|600,![[pin_fpga.png|600]]
sch_statLED.png,_assets/misc/sch_statLED.png,30_Notes/0922-Conectando a LPGBT.md,2,sch_statLED.png|300,![[sch_statLED.png|300]]
sch_statLED_u39b.png,_assets/misc/sch_statLED_u39b.png,30_Notes/0922-Conectando a LPGBT.md,5,sch_statLED_u39b.png|200,![[sch_statLED_u39b.png|200]]
pigbt_welcome.png,_assets/misc/pigbt_welcome.png,30_Notes/0922-Conectando a LPGBT.md,107,pigbt_welcome.png,![[pigbt_welcome.png]]
pigbt_lpgbt_locked.png,_assets/misc/pigbt_lpgbt_locked.png,30_Notes/0922-Conectando a LPGBT.md,109,pigbt_lpgbt_locked.png,![[pigbt_lpgbt_locked.png]]
pigbt_pattern_4A4C.png,_assets/misc/pigbt_pattern_4A4C.png,30_Notes/0922-Conectando a LPGBT.md,113,pigbt_pattern_4A4C.png,![[pigbt_pattern_4A4C.png]]
pigbt_uplinkoptions.png,_assets/misc/pigbt_uplinkoptions.png,30_Notes/0922-Conectando a LPGBT.md,116,pigbt_uplinkoptions.png,![[pigbt_uplinkoptions.png]]
pigbt_uplink_datarate.png,_assets/misc/pigbt_uplink_datarate.png,30_Notes/0922-Conectando a LPGBT.md,120,pigbt_uplink_datarate.png,![[pigbt_uplink_datarate.png]]
pigbt_pattern.png,_assets/misc/pigbt_pattern.png,30_Notes/0922-Conectando a LPGBT.md,124,pigbt_pattern.png,![[pigbt_pattern.png]]
pigbt_clockps.png,_assets/misc/pigbt_clockps.png,30_Notes/0922-Conectando a LPGBT.md,129,pigbt_clockps.png,![[pigbt_clockps.png]]
pigbt_datarate.png,_assets/misc/pigbt_datarate.png,30_Notes/0922-Conectando a LPGBT.md,132,pigbt_datarate.png,![[pigbt_datarate.png]]
sent_pattenr.png,_assets/misc/sent_pattenr.png,30_Notes/0924-downlink frame y com.md,1,sent_pattenr.png,![[sent_pattenr.png]]
dout_constvalue.png,_assets/misc/dout_constvalue.png,30_Notes/0924-getting data out.md,3,dout_constvalue.png|700,![[dout_constvalue.png|700]]
xlconcat_1.png,_assets/misc/xlconcat_1.png,30_Notes/0929-ExplorationIRQ.md,77,xlconcat_1.png|250,![[xlconcat_1.png|250]]
ip_creation_not_lib.png,_assets/misc/ip_creation_not_lib.png,30_Notes/0929-PRBS Signal para lpgbt.md,2,ip_creation_not_lib.png,![[ip_creation_not_lib.png]]
ip_creation.png,_assets/misc/ip_creation.png,30_Notes/0929-PRBS Signal para lpgbt.md,4,ip_creation.png,![[ip_creation.png]]
succes_package_prbs.png,_assets/misc/succes_package_prbs.png,30_Notes/0929-PRBS Signal para lpgbt.md,7,succes_package_prbs.png,![[succes_package_prbs.png]]
